,season,team1,team2,winner
619,2017,Delhi Daredevils,Mumbai Indians,Mumbai Indians
620,2017,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
621,2017,Kings XI Punjab,Gujarat Lions,Gujarat Lions
622,2017,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
623,2017,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
624,2017,Gujarat Lions,Delhi Daredevils,Delhi Daredevils
625,2017,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
626,2017,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils
627,2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad
628,2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
629,2017,Rising Pune Supergiant,Kings XI Punjab,Rising Pune Supergiant
630,2017,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
631,2017,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant
632,2017,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
633,2017,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
634,2017,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians
635,2018,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
636,2018,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab
637,2018,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
638,2018,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
639,2018,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings
640,2018,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals
641,2018,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad
642,2018,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
643,2018,Mumbai Indians,Delhi Daredevils,Delhi Daredevils
644,2018,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
645,2018,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
646,2018,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab
647,2018,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders
648,2018,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians
649,2018,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
650,2018,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab
651,2018,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
652,2018,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
653,2018,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
654,2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
655,2018,Rajasthan Royals,Mumbai Indians,Rajasthan Royals
656,2018,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
657,2018,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
658,2018,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
659,2018,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad
660,2018,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
661,2018,Chennai Super Kings,Mumbai Indians,Mumbai Indians
662,2018,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
663,2018,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
